epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2203,2.32084,5.08552,1.77036,0.00125,0.23077,0.00164,0.00059,2.53694,5.14769,1.75189,4e-05,4e-05,4e-05
2,21.2203,2.27034,5.25126,1.78296,0.00125,0.23077,0.00366,0.00149,2.49894,5.10636,1.65846,9.99891e-05,9.99891e-05,9.99891e-05
3,30.6714,2.12089,3.83682,1.56743,0.00167,0.30769,0.00894,0.00499,2.4034,4.71209,1.61132,0.000159931,0.000159931,0.000159931
4,39.9856,1.13408,4.95978,0.96609,0.00208,0.38462,0.15679,0.09287,2.1002,4.19236,1.39399,0.000219785,0.000219785,0.000219785
5,49.1354,1.85259,2.86636,1.73933,0.0025,0.46154,0.17894,0.09622,2.08011,4.08546,1.28996,0.000279514,0.000279514,0.000279514
6,58.4209,1.77537,2.26863,1.47949,0.0025,0.46154,0.20514,0.12005,2.04939,4.02162,1.27519,0.000339078,0.000339078,0.000339078
7,67.8537,1.53094,2.02409,1.20409,0.00292,0.53846,0.25067,0.10259,2.14212,4.03342,1.32862,0.000398439,0.000398439,0.000398439
8,77.1609,1.4828,2.36319,1.25813,0.00333,0.61538,0.2104,0.11483,2.14734,4.06488,1.34773,0.000457557,0.000457557,0.000457557
9,86.0491,2.2968,2.60771,2.0703,0.00333,0.61538,0.11838,0.05196,1.80983,3.897,1.28237,0.000516395,0.000516395,0.000516395
10,95.3855,1.30165,2.21493,1.25103,0.00292,0.53846,0.12144,0.05083,1.86675,4.03141,1.30635,0.000574915,0.000574915,0.000574915
11,104.527,1.07457,3.93993,0.81666,0.00333,0.61538,0.16325,0.06477,1.92296,4.05867,1.33268,0.000633077,0.000633077,0.000633077
12,113.646,1.3318,2.3878,1.045,0.00333,0.61538,0.1593,0.08371,1.92304,3.99501,1.27684,0.000690845,0.000690845,0.000690845
13,122.906,1.39448,1.92565,1.1547,0.00333,0.61538,0.02829,0.01155,1.88187,3.9297,1.2671,0.000748181,0.000748181,0.000748181
14,132.433,1.63574,2.84551,1.322,0.00333,0.61538,0.05958,0.02079,1.81392,4.01958,1.34429,0.000805048,0.000805048,0.000805048
15,142.51,1.59529,1.96319,1.33085,0.00292,0.53846,0.13553,0.05228,1.98691,3.97562,1.41541,0.000861408,0.000861408,0.000861408
16,152.904,1.48471,2.00681,1.29455,0.00208,0.38462,0.17761,0.10421,2.05416,3.98817,1.43344,0.000917227,0.000917227,0.000917227
17,163.303,1.47361,1.91239,1.30563,0.00208,0.38462,0.01662,0.0072,2.08584,4.04075,1.44554,0.000972466,0.000972466,0.000972466
18,172.804,1.6357,1.99033,1.29143,0.00167,0.30769,0.04,0.02305,1.97494,3.96668,1.35232,0.00102709,0.00102709,0.00102709
19,182.235,1.89958,2.558,1.43335,0.00208,0.38462,0.21631,0.11927,1.87136,3.80641,1.28796,0.00108107,0.00108107,0.00108107
20,191.533,1.52911,2.07123,1.40886,0.00339,0.30769,0.20462,0.11588,1.78514,3.73045,1.30366,0.00113436,0.00113436,0.00113436
21,200.584,1.85324,2.82167,1.18603,0.48577,0.15385,0.16938,0.10486,1.81526,3.70556,1.34089,0.00118693,0.00118693,0.00118693
22,209.594,1.58426,1.91665,1.39877,0.00326,0.30769,0.10592,0.05441,1.92358,3.80365,1.36191,0.00123876,0.00123876,0.00123876
23,218.555,2.294,3.00919,2.19287,0.00417,0.76923,0.00737,0.00234,2.00351,4.00818,1.46002,0.00128979,0.00128979,0.00128979
24,227.461,1.4292,2.53772,1.34674,0.00458,0.84615,0.02113,0.00448,2.18255,3.79508,1.55464,0.00134001,0.00134001,0.00134001
25,236.746,1.41541,1.78665,1.13978,0.20878,0.30769,0.15128,0.06354,2.05927,3.4543,1.40314,0.00138938,0.00138938,0.00138938
26,246.067,1.47585,1.96665,1.2429,0.88796,0.23077,0.32903,0.14259,1.97062,3.28583,1.37108,0.00143787,0.00143787,0.00143787
27,255.377,1.67744,1.69005,1.21493,0.72876,0.23077,0.30991,0.12052,2.17522,3.28626,1.47225,0.00148545,0.00148545,0.00148545
28,264.582,1.57987,1.81591,1.34359,0.84186,0.15385,0.1927,0.06156,2.23062,3.53539,1.56006,0.00153208,0.00153208,0.00153208
29,274.059,0.90334,3.52677,0.86063,0.84186,0.15385,0.1927,0.06156,2.23062,3.53539,1.56006,0.00157775,0.00157775,0.00157775
30,283.556,1.50887,1.70366,1.343,0.44322,0.07692,0.07305,0.02854,2.20357,3.69878,1.52419,0.00162241,0.00162241,0.00162241
31,292.79,0.96295,3.23738,0.83225,0.64736,0.15385,0.17255,0.06854,2.22979,3.66316,1.52247,0.00166605,0.00166605,0.00166605
32,302.345,1.37025,1.6998,1.13185,0.30657,0.23077,0.1622,0.04102,2.31846,3.86632,1.497,0.00170864,0.00170864,0.00170864
33,311.844,1.17259,2.07221,1.31136,0.30657,0.23077,0.1622,0.04102,2.31846,3.86632,1.497,0.00175014,0.00175014,0.00175014
34,321.264,1.3683,1.58076,1.1982,0.60119,0.15385,0.15245,0.0309,2.23944,3.55602,1.47214,0.00177281,0.00177281,0.00177281
35,330.447,1.18043,1.74783,1.23255,0.6045,0.61538,0.53436,0.1862,2.04956,2.83857,1.34985,0.00175943,0.00175943,0.00175943
36,339.73,1.40593,1.49378,1.21726,0.70956,0.53846,0.51009,0.19743,1.95611,2.72127,1.34776,0.00174571,0.00174571,0.00174571
37,349.069,1.37193,1.57051,1.22903,0.70956,0.53846,0.51009,0.19743,1.95611,2.72127,1.34776,0.00173168,0.00173168,0.00173168
38,359.816,1.37605,1.6372,1.12056,0.42412,0.38462,0.33412,0.14107,1.97725,2.74001,1.38735,0.00171733,0.00171733,0.00171733
39,369.669,1.3307,1.47308,1.15689,0.29759,0.46154,0.25677,0.11193,2.06587,2.96364,1.45619,0.00170267,0.00170267,0.00170267
40,379.042,1.30186,1.53881,1.19045,0.2226,0.38462,0.2045,0.09639,1.99314,2.84432,1.4637,0.0016877,0.0016877,0.0016877
41,388.385,1.26853,1.42981,1.13804,0.2226,0.38462,0.2045,0.09639,1.99314,2.84432,1.4637,0.00167244,0.00167244,0.00167244
42,397.697,1.44796,1.3644,1.14146,0.54041,0.38462,0.3894,0.13316,2.03826,2.80475,1.52215,0.00165689,0.00165689,0.00165689
43,407.685,0.95963,1.19337,1.0163,0.4378,0.53846,0.58975,0.20792,2.01746,2.51593,1.50775,0.00164105,0.00164105,0.00164105
44,418.198,1.16115,1.41744,1.11227,0.43241,0.61538,0.51349,0.17623,2.00683,2.40343,1.51721,0.00162494,0.00162494,0.00162494
45,428.383,1.24721,1.41116,1.16196,0.43241,0.61538,0.51349,0.17623,2.00683,2.40343,1.51721,0.00160855,0.00160855,0.00160855
46,439.3,1.42323,1.7723,1.09986,0.35395,0.53846,0.46278,0.19039,2.03899,2.2708,1.46604,0.00159191,0.00159191,0.00159191
47,448.569,1.69396,1.6417,1.11497,0.5112,0.38462,0.44181,0.16671,2.17114,2.4015,1.56647,0.00157501,0.00157501,0.00157501
48,458.755,1.28411,1.45797,1.08389,0.75547,0.38462,0.58015,0.19581,2.11553,2.30439,1.56755,0.00155786,0.00155786,0.00155786
49,468.95,1.29913,1.26544,1.11814,0.75547,0.38462,0.58015,0.19581,2.11553,2.30439,1.56755,0.00154047,0.00154047,0.00154047
50,478.685,1.5535,1.57456,1.47909,0.74074,0.61538,0.68107,0.27116,2.07927,2.12213,1.58031,0.00152285,0.00152285,0.00152285
51,488.414,1.22563,1.20804,1.13792,0.54012,0.63328,0.62682,0.29,2.00218,2.08309,1.51126,0.001505,0.001505,0.001505
52,498.411,1.63975,1.23268,1.30439,0.7355,0.53846,0.62802,0.34601,1.90534,2.07091,1.45873,0.00148694,0.00148694,0.00148694
53,508.365,1.17403,1.14222,1.05139,0.7355,0.53846,0.62802,0.34601,1.90534,2.07091,1.45873,0.00146866,0.00146866,0.00146866
54,517.74,0.92307,1.109,1.02165,0.7019,0.54382,0.61257,0.30219,1.9818,2.09929,1.52072,0.00145019,0.00145019,0.00145019
55,527.862,1.09556,1.20517,1.02884,0.87422,0.53512,0.59384,0.2796,1.97957,2.0906,1.51827,0.00143152,0.00143152,0.00143152
56,538.056,1.13188,1.20119,1.06177,0.79248,0.46154,0.54239,0.28717,2.0207,2.19218,1.42243,0.00141267,0.00141267,0.00141267
57,547.868,1.42924,1.19705,1.15145,0.79248,0.46154,0.54239,0.28717,2.0207,2.19218,1.42243,0.00139364,0.00139364,0.00139364
58,558.363,0.93227,1.19054,0.96099,0.37569,0.53846,0.38033,0.23252,1.9765,2.32192,1.30343,0.00137444,0.00137444,0.00137444
59,567.924,1.3859,1.52519,1.04312,0.47816,0.30769,0.30571,0.18178,1.86687,2.4726,1.23913,0.00135509,0.00135509,0.00135509
60,577.074,0.83445,1.0501,0.96358,0.94095,0.23077,0.37719,0.20424,1.86508,2.3076,1.281,0.00133558,0.00133558,0.00133558
61,586.592,1.1156,1.20766,1.00544,0.94095,0.23077,0.37719,0.20424,1.86508,2.3076,1.281,0.00131593,0.00131593,0.00131593
62,596.567,1.23613,1.22581,1.24741,0.63618,0.46154,0.49477,0.24628,1.93547,2.071,1.34178,0.00129614,0.00129614,0.00129614
63,606.764,1.08834,1.20334,1.08117,0.65998,0.69231,0.73535,0.32859,2.02874,1.84749,1.39582,0.00127623,0.00127623,0.00127623
64,616.813,0.96699,0.96335,1.06257,0.68495,0.53846,0.64,0.26813,2.21361,1.86017,1.4712,0.0012562,0.0012562,0.0012562
65,627.182,0.66234,1.98102,0.70412,0.68495,0.53846,0.64,0.26813,2.21361,1.86017,1.4712,0.00123607,0.00123607,0.00123607
66,637.352,1.02135,0.95352,0.99983,0.67882,0.81409,0.75142,0.30345,2.2382,1.81699,1.47974,0.00121583,0.00121583,0.00121583
67,648.133,1.01744,1.33149,1.09036,0.50421,0.53846,0.52648,0.21753,2.37101,1.8891,1.52746,0.00119551,0.00119551,0.00119551
68,660.289,1.10671,1.01435,1.07629,0.43642,0.46154,0.39818,0.19228,2.45577,2.0182,1.54585,0.0011751,0.0011751,0.0011751
